country,region
French Guiana,Latin America and the Caribbean
Falkland Islands (Malvinas),Latin America and the Caribbean
South Georgia & the South Sandwich Islands,Latin America and the Caribbean
Guyana,Latin America and the Caribbean
Paraguay,Latin America and the Caribbean
Peru,Latin America and the Caribbean
Suriname,Latin America and the Caribbean
Uruguay,Latin America and the Caribbean
Venezuela (Bolivarian Republic of),Latin America and the Caribbean
Australia and New Zealand,Oceania
Australia,Oceania
Christmas Island,Oceania
Cocos (Keeling) Islands,Oceania
Heard Island & McDonald Islands,Oceania
Norfolk Island,Oceania
New Zealand,Oceania
Oceania (excluding Australia and New Zealand),Oceania
Fiji,Oceania
New Caledonia,Oceania
Papua New Guinea,Oceania
Solomon Islands,Oceania
Vanuatu,Oceania
Kiribati,Oceania
Marshall Islands,Oceania
Micronesia (Federated States of),Oceania
Nauru,Oceania
Northern Mariana Islands,Oceania
Palau,Oceania
Guam,Oceania
French Polynesia,Oceania
Wallis and Futuna Island,Oceania
Pitcairn,Oceania
Cook Islands,Oceania
Niue,Oceania
Tokelau,Oceania
Tonga,Oceania
Tuvalu,Oceania
American Samoa,Oceania
Samoa,Oceania
Bermuda,Europe and Northern America
Canada,Europe and Northern America
Greenland,Europe and Northern America
United States ,Europe and Northern America
Bulgaria,Europe and Northern America
Belarus,Europe and Northern America
Czech Republic,Europe and Northern America
Hungary,Europe and Northern America
Moldova,Europe and Northern America
Poland,Europe and Northern America
Romania,Europe and Northern America
Russian Federation,Europe and Northern America
Slovak Republic,Europe and Northern America
Ukraine,Europe and Northern America
Åland Islands,Europe and Northern America
Channel Islands,Europe and Northern America
Denmark,Europe and Northern America
Estonia,Europe and Northern America
Faroe Islands,Europe and Northern America
Finland,Europe and Northern America
Isle of Man,Europe and Northern America
United Kingdom,Europe and Northern America
Iceland,Europe and Northern America
Ireland,Europe and Northern America
Latvia,Europe and Northern America
Lithuania,Europe and Northern America
Norway,Europe and Northern America
Sweden,Europe and Northern America
Albania,Europe and Northern America
Andorra,Europe and Northern America
Bosnia and Herzegovina,Europe and Northern America
Croatia,Europe and Northern America
Greece,Europe and Northern America
Italy,Europe and Northern America
Malta,Europe and Northern America
Montenegro,Europe and Northern America
Portugal,Europe and Northern America
San Marino,Europe and Northern America
Serbia,Europe and Northern America
Slovenia,Europe and Northern America
Spain,Europe and Northern America
The former Yugoslav Republic of Macedonia,Europe and Northern America
Austria,Europe and Northern America
Belgium,Europe and Northern America
Switzerland,Europe and Northern America
Germany,Europe and Northern America
France,Europe and Northern America
Liechtenstein,Europe and Northern America
Luxembourg,Europe and Northern America
Monaco,Europe and Northern America
Netherlands,Europe and Northern America
