residence_type,year,service_type,basic_service,limited_service,open_defecation,safely_managed_service,unimproved,surface_water
total,2012,Sanitation,29.2,7.6,12.5,39.3,11.3,NA
rural,2012,Sanitation,16.6,6.5,23.7,35.3,17.9,NA
urban,2012,Sanitation,40.5,8.6,2.5,42.9,5.4,NA
total,2012,Drinking water,19.6,2.8,NA,67.7,7.3,2.6
rural,2012,Drinking water,29.8,4.3,NA,47.9,13,5
urban,2012,Drinking water,10.4,1.4,NA,85.7,2,0.4
total,2013,Sanitation,29.1,7.8,11.8,40.4,10.9,NA
rural,2013,Sanitation,16.7,6.7,22.5,36.7,17.4,NA
urban,2013,Sanitation,40.1,8.7,2.3,43.7,5.2,NA
total,2013,Drinking water,19.5,2.8,NA,68.3,6.9,2.4
rural,2013,Drinking water,29.5,4.3,NA,48.9,12.5,4.8
urban,2013,Drinking water,10.6,1.4,NA,85.6,2,0.4
total,2014,Sanitation,29,7.9,11,41.6,10.5,NA
rural,2014,Sanitation,16.7,6.9,21.4,38.1,16.9,NA
urban,2014,Sanitation,39.6,8.8,2.1,44.6,4.9,NA
total,2014,Drinking water,19.4,2.8,NA,68.9,6.6,2.3
rural,2014,Drinking water,29.2,4.3,NA,49.9,12,4.5
urban,2014,Drinking water,10.8,1.4,NA,85.5,2,0.4
total,2015,Sanitation,28.8,8,10.3,42.7,10.1,NA
rural,2015,Sanitation,16.7,7,20.2,39.6,16.5,NA
urban,2015,Sanitation,39.2,8.9,1.8,45.4,4.7,NA
total,2015,Drinking water,19.2,2.8,NA,69.5,6.3,2.2
rural,2015,Drinking water,28.9,4.4,NA,51,11.5,4.3
urban,2015,Drinking water,11,1.4,NA,85.4,1.9,0.4
total,2016,Sanitation,28.7,8.2,9.6,43.9,9.7,NA
rural,2016,Sanitation,16.7,7.2,19,41.1,16.1,NA
urban,2016,Sanitation,38.8,9,1.6,46.2,4.4,NA
total,2016,Drinking water,19.1,2.8,NA,70.1,6,2
rural,2016,Drinking water,28.5,4.5,NA,52,11,4
urban,2016,Drinking water,11.2,1.3,NA,85.3,1.9,0.4
total,2017,Sanitation,28.5,8.3,8.9,45,9.3,NA
rural,2017,Sanitation,16.6,7.3,18,42.5,15.5,NA
urban,2017,Sanitation,38.3,9.1,1.4,47,4.2,NA
total,2017,Drinking water,19,2.7,NA,70.6,5.8,1.9
rural,2017,Drinking water,28.2,4.5,NA,53,10.5,3.8
urban,2017,Drinking water,11.4,1.3,NA,85.1,1.8,0.3
