ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
BDI,Burundi,total,Drinking water,2017,14.87985,1616583.267,Unimproved
BEL,Belgium,total,Drinking water,2017,0.47681,54496.71456,Basic service
BEL,Belgium,total,Drinking water,2017,0,0,Limited service
BEL,Belgium,total,Drinking water,2017,99.52319,11374839.67,Safely managed service
BEL,Belgium,total,Drinking water,2017,0,0,Surface water
BEL,Belgium,total,Drinking water,2017,0,0,Unimproved
BEN,Benin,total,Drinking water,2017,66.41473,7422305.146,At least basic
BEN,Benin,total,Drinking water,2017,9.999,1117457.175,Limited service
BEN,Benin,total,Drinking water,2017,3.78229,422697.3552,Surface water
BEN,Benin,total,Drinking water,2017,19.80398,2213232.323,Unimproved
BFA,Burkina Faso,total,Drinking water,2017,47.88813,9191351.213,At least basic
BFA,Burkina Faso,total,Drinking water,2017,27.75663,5327436.726,Limited service
BFA,Burkina Faso,total,Drinking water,2017,1.28714,247045.2082,Surface water
BFA,Burkina Faso,total,Drinking water,2017,23.0681,4427548.853,Unimproved
BGD,Bangladesh,total,Drinking water,2017,41.57478,68461082.44,Basic service
BGD,Bangladesh,total,Drinking water,2017,1.54385,2542246.013,Limited service
BGD,Bangladesh,total,Drinking water,2017,55.44123,91294925.57,Safely managed service
BGD,Bangladesh,total,Drinking water,2017,0.93236,1535307.612,Surface water
BGD,Bangladesh,total,Drinking water,2017,0.50779,836182.3622,Unimproved
BGR,Bulgaria,total,Drinking water,2017,2.16241,153197.3039,Basic service
BGR,Bulgaria,total,Drinking water,2017,0,0,Limited service
BGR,Bulgaria,total,Drinking water,2017,96.94594,6868203.61,Safely managed service
BGR,Bulgaria,total,Drinking water,2017,0.89166,63170.08565,Unimproved
BHR,Bahrain,total,Drinking water,2017,1.01674,15175.66684,Basic service
BHR,Bahrain,total,Drinking water,2017,0,0,Limited service
BHR,Bahrain,total,Drinking water,2017,98.98326,1477408.333,Safely managed service
BHR,Bahrain,total,Drinking water,2017,0,0,Surface water
BHR,Bahrain,total,Drinking water,2017,0,0,Unimproved
BHS,Bahamas,total,Drinking water,2017,98.88696,390960.4759,At least basic
BHS,Bahamas,total,Drinking water,2017,0,0,Limited service
BHS,Bahamas,total,Drinking water,2017,0,0,Surface water
BHS,Bahamas,total,Drinking water,2017,1.11304,4400.52411,Unimproved
BIH,Bosnia and Herzegovina,total,Drinking water,2017,7.30046,256028.4148,Basic service
BIH,Bosnia and Herzegovina,total,Drinking water,2017,3.79666,133149.6038,Limited service
BIH,Bosnia and Herzegovina,total,Drinking water,2017,88.84189,3115700.357,Safely managed service
BIH,Bosnia and Herzegovina,total,Drinking water,2017,0,0,Surface water
BIH,Bosnia and Herzegovina,total,Drinking water,2017,0.06098,2138.62409,Unimproved
BLR,Belarus,total,Drinking water,2017,1.96258,185823.7919,Basic service
BLR,Belarus,total,Drinking water,2017,3.33006,315301.4165,Limited service
BLR,Belarus,total,Drinking water,2017,94.52139,8949604.716,Safely managed service
BLR,Belarus,total,Drinking water,2017,0,0,Surface water
BLR,Belarus,total,Drinking water,2017,0.18597,17608.07561,Unimproved
BLZ,Belize,total,Drinking water,2017,97.99258,367159.5779,At least basic
BLZ,Belize,total,Drinking water,2017,1.24272,4656.21946,Limited service
BLZ,Belize,total,Drinking water,2017,0,0,Surface water
BLZ,Belize,total,Drinking water,2017,0.7647,2865.20267,Unimproved
BMU,Bermuda,total,Drinking water,2017,99.90314,61289.57737,At least basic
BMU,Bermuda,total,Drinking water,2017,0,0,Limited service
BMU,Bermuda,total,Drinking water,2017,0,0,Surface water
BMU,Bermuda,total,Drinking water,2017,0.09686,59.42263,Unimproved
BOL,Bolivia (Plurinational State of),total,Drinking water,2017,92.84874,10261270.82,At least basic
BOL,Bolivia (Plurinational State of),total,Drinking water,2017,0.08235,9100.96079,Limited service
BOL,Bolivia (Plurinational State of),total,Drinking water,2017,5.47328,604884.8473,Surface water
BOL,Bolivia (Plurinational State of),total,Drinking water,2017,1.59564,176343.3748,Unimproved
BRA,Brazil,total,Drinking water,2017,98.19339,205507270.5,At least basic
BRA,Brazil,total,Drinking water,2017,0.2523,528040.1661,Limited service
BRA,Brazil,total,Drinking water,2017,1.55431,3252983.236,Unimproved
BRB,Barbados,total,Drinking water,2017,98.49445,281417.3507,At least basic
BRB,Barbados,total,Drinking water,2017,0.26755,764.43045,Limited service
BRB,Barbados,total,Drinking water,2017,0,0,Surface water
BRB,Barbados,total,Drinking water,2017,1.23801,3537.21887,Unimproved
BRN,Brunei Darussalam,total,Drinking water,2017,99.90001,428268.342,At least basic
BRN,Brunei Darussalam,total,Drinking water,2017,0,0,Limited service
BRN,Brunei Darussalam,total,Drinking water,2017,0,0,Surface water
BRN,Brunei Darussalam,total,Drinking water,2017,0.09999,428.65803,Unimproved
BTN,Bhutan,total,Drinking water,2017,61.07027,493209.6258,Basic service
BTN,Bhutan,total,Drinking water,2017,2.50105,20198.76782,Limited service
BTN,Bhutan,total,Drinking water,2017,36.16311,292056.9013,Safely managed service
BTN,Bhutan,total,Drinking water,2017,0.0246,198.69435,Surface water
BTN,Bhutan,total,Drinking water,2017,0.24096,1946.01067,Unimproved
BWA,Botswana,total,Drinking water,2017,90.33771,2070234.145,At least basic
BWA,Botswana,total,Drinking water,2017,6.58047,150802.1182,Limited service
BWA,Botswana,total,Drinking water,2017,1.49901,34352.21304,Surface water
BWA,Botswana,total,Drinking water,2017,1.5828,36272.52346,Unimproved
CAN,Canada,total,Drinking water,2017,0.57539,210731.9976,Basic service
CAN,Canada,total,Drinking water,2017,0,0,Limited service
CAN,Canada,total,Drinking water,2017,98.86085,36206996.91,Safely managed service
CAN,Canada,total,Drinking water,2017,0,0,Surface water
CAN,Canada,total,Drinking water,2017,0.56376,206471.0939,Unimproved
CHE,Switzerland,total,Drinking water,2017,4.54459,385200.0762,Basic service
CHE,Switzerland,total,Drinking water,2017,0,0,Limited service
CHE,Switzerland,total,Drinking water,2017,95.45541,8090805.168,Safely managed service
CHE,Switzerland,total,Drinking water,2017,0,0,Surface water
CHE,Switzerland,total,Drinking water,2017,0,0,Unimproved
CHI,Channel Islands,total,Drinking water,2017,2.175,3595.5795,Basic service
CHI,Channel Islands,total,Drinking water,2017,0,0,Limited service
CHI,Channel Islands,total,Drinking water,2017,91.975,152047.5515,Safely managed service
CHI,Channel Islands,total,Drinking water,2017,0,0,Surface water
CHI,Channel Islands,total,Drinking water,2017,5.85,9670.869,Unimproved
CHL,Chile,total,Drinking water,2017,1.19362,215505.0863,Basic service
CHL,Chile,total,Drinking water,2017,0,0,Limited service
CHL,Chile,total,Drinking water,2017,98.63917,17809031.82,Safely managed service
CHL,Chile,total,Drinking water,2017,0,0,Surface water
CHL,Chile,total,Drinking water,2017,0.16721,30189.09098,Unimproved
CHN,China,total,Drinking water,2017,92.84614,1330618605,At least basic
CHN,China,total,Drinking water,2017,0.83318,11940616.18,Limited service
CHN,China,total,Drinking water,2017,0.43096,6176315.962,Surface water
CHN,China,total,Drinking water,2017,5.88973,84408230.92,Unimproved
CIV,Côte d'Ivoire,total,Drinking water,2017,36.31984,8823814.991,Basic service
CIV,Côte d'Ivoire,total,Drinking water,2017,6.30697,1532263.368,Limited service
CIV,Côte d'Ivoire,total,Drinking water,2017,36.5491,8879513.374,Safely managed service
CIV,Côte d'Ivoire,total,Drinking water,2017,5.74032,1394596.119,Surface water
CIV,Côte d'Ivoire,total,Drinking water,2017,15.08376,3664562.148,Unimproved
CMR,Cameroon,total,Drinking water,2017,60.38486,14524809.72,At least basic
CMR,Cameroon,total,Drinking water,2017,16.15112,3884945.97,Limited service
CMR,Cameroon,total,Drinking water,2017,7.33276,1763801.571,Surface water
CMR,Cameroon,total,Drinking water,2017,16.13126,3880168.739,Unimproved
COD,Democratic Republic of the Congo,total,Drinking water,2017,43.24332,35174111.23,At least basic
COD,Democratic Republic of the Congo,total,Drinking water,2017,11.94991,9720053.547,Limited service
COD,Democratic Republic of the Congo,total,Drinking water,2017,9.2085,7490192.008,Surface water
COD,Democratic Republic of the Congo,total,Drinking water,2017,35.59827,28955627.22,Unimproved
COG,Congo,total,Drinking water,2017,27.86295,1465800.032,Basic service
COG,Congo,total,Drinking water,2017,10.46463,550518.0617,Limited service
COG,Congo,total,Drinking water,2017,45.35481,2386003.329,Safely managed service
COG,Congo,total,Drinking water,2017,6.45857,339769.4541,Surface water
COG,Congo,total,Drinking water,2017,9.85903,518659.1238,Unimproved
COK,Cook Islands,total,Drinking water,2017,99.8796,17359.07454,At least basic
COK,Cook Islands,total,Drinking water,2017,0,0,Limited service
COK,Cook Islands,total,Drinking water,2017,0,0,Surface water
COK,Cook Islands,total,Drinking water,2017,0.1204,20.92546,Unimproved
COL,Colombia,total,Drinking water,2017,24.06668,11808465.73,Basic service
COL,Colombia,total,Drinking water,2017,0.19218,94293.40344,Limited service
COL,Colombia,total,Drinking water,2017,73.23343,35932428.53,Safely managed service
COL,Colombia,total,Drinking water,2017,1.6727,820719.8271,Surface water
COL,Colombia,total,Drinking water,2017,0.83501,409704.5127,Unimproved
COM,Comoros,total,Drinking water,2017,80.16752,652493.0399,At least basic
COM,Comoros,total,Drinking water,2017,10.86964,88469.30161,Limited service
COM,Comoros,total,Drinking water,2017,0.59442,4838.06031,Surface water
COM,Comoros,total,Drinking water,2017,8.36842,68111.59816,Unimproved
CPV,Cabo Verde,total,Drinking water,2017,87.08321,475812.1986,At least basic
CPV,Cabo Verde,total,Drinking water,2017,9.14525,49968.55922,Limited service
CPV,Cabo Verde,total,Drinking water,2017,0.12198,666.4799,Surface water
CPV,Cabo Verde,total,Drinking water,2017,3.64956,19940.76227,Unimproved
CRI,Costa Rica,total,Drinking water,2017,5.89872,289377.4262,Basic service
CRI,Costa Rica,total,Drinking water,2017,0.29848,14642.91585,Limited service
CRI,Costa Rica,total,Drinking water,2017,93.8028,4601748.536,Safely managed service
CRI,Costa Rica,total,Drinking water,2017,0,0,Surface water
CRI,Costa Rica,total,Drinking water,2017,0,0.12207,Unimproved
CUB,Cuba,total,Drinking water,2017,95.32758,10948025.84,At least basic
CUB,Cuba,total,Drinking water,2017,2.0566,236193.4109,Limited service
CUB,Cuba,total,Drinking water,2017,0.41778,47980.88608,Surface water
CUB,Cuba,total,Drinking water,2017,2.19803,252435.8673,Unimproved
CUW,Curaçao,total,Drinking water,2017,99.49775,159732.6958,At least basic
CUW,Curaçao,total,Drinking water,2017,0,0,Limited service
CUW,Curaçao,total,Drinking water,2017,0,0,Surface water
CUW,Curaçao,total,Drinking water,2017,0.50225,806.30416,Unimproved
CYP,Cyprus,total,Drinking water,2017,0,0,Basic service
CYP,Cyprus,total,Drinking water,2017,0,0,Limited service
CYP,Cyprus,total,Drinking water,2017,99.61329,1174989.513,Safely managed service
CYP,Cyprus,total,Drinking water,2017,0,0,Surface water
CYP,Cyprus,total,Drinking water,2017,0.38671,4561.4871,Unimproved
CZE,Czechia,total,Drinking water,2017,1.99895,212254.2329,Basic service
CZE,Czechia,total,Drinking water,2017,0,0,Limited service
CZE,Czechia,total,Drinking water,2017,97.88131,10393334.28,Safely managed service
CZE,Czechia,total,Drinking water,2017,0,0,Surface water
CZE,Czechia,total,Drinking water,2017,0.11974,12714.48377,Unimproved
DEU,Germany,total,Drinking water,2017,0.2,164228.448,Basic service
DEU,Germany,total,Drinking water,2017,0,0,Limited service
DEU,Germany,total,Drinking water,2017,99.8,81949995.55,Safely managed service
DEU,Germany,total,Drinking water,2017,0,0,Surface water
DEU,Germany,total,Drinking water,2017,0,0,Unimproved
DJI,Djibouti,total,Drinking water,2017,75.63231,723789.8396,At least basic
DJI,Djibouti,total,Drinking water,2017,14.69076,140588.3567,Limited service
DJI,Djibouti,total,Drinking water,2017,2.39533,22922.98415,Surface water
DJI,Djibouti,total,Drinking water,2017,7.2816,69683.8195,Unimproved
DNK,Denmark,total,Drinking water,2017,3.26533,187219.1888,Basic service
DNK,Denmark,total,Drinking water,2017,0,0,Limited service
DNK,Denmark,total,Drinking water,2017,96.73467,5546331.75,Safely managed service
DNK,Denmark,total,Drinking water,2017,0,0,Surface water
DNK,Denmark,total,Drinking water,2017,0,0.06104,Unimproved
DOM,Dominican Republic,total,Drinking water,2017,96.69022,10410634.57,At least basic
DOM,Dominican Republic,total,Drinking water,2017,0.34073,36685.94319,Limited service
DOM,Dominican Republic,total,Drinking water,2017,1.29861,139821.3433,Surface water
DOM,Dominican Republic,total,Drinking water,2017,1.67044,179856.1485,Unimproved
DZA,Algeria,total,Drinking water,2017,93.55589,38655552.84,At least basic
DZA,Algeria,total,Drinking water,2017,5.13988,2123701.53,Limited service
DZA,Algeria,total,Drinking water,2017,0.19029,78625.74588,Surface water
DZA,Algeria,total,Drinking water,2017,1.11394,460259.8827,Unimproved
ECU,Ecuador,total,Drinking water,2017,18.92652,3146507.571,Basic service
ECU,Ecuador,total,Drinking water,2017,0.11242,18689.36793,Limited service
ECU,Ecuador,total,Drinking water,2017,75.06801,12479949.72,Safely managed service
ECU,Ecuador,total,Drinking water,2017,3.08123,512249.7315,Surface water
ECU,Ecuador,total,Drinking water,2017,2.81182,467460.6122,Unimproved
EGY,Egypt,total,Drinking water,2017,99.10573,96680763.87,At least basic
EGY,Egypt,total,Drinking water,2017,0.23675,230954.8965,Limited service
EGY,Egypt,total,Drinking water,2017,0.01699,16575.20821,Surface water
EGY,Egypt,total,Drinking water,2017,0.64053,624858.0207,Unimproved
ESP,Spain,total,Drinking water,2017,1.48479,688263.8957,Basic service
ESP,Spain,total,Drinking water,2017,0,0,Limited service
ESP,Spain,total,Drinking water,2017,98.44149,45631882.92,Safely managed service
ESP,Spain,total,Drinking water,2017,0,0,Surface water
ESP,Spain,total,Drinking water,2017,0.07372,34173.18885,Unimproved
EST,Estonia,total,Drinking water,2017,6.37983,83552.34253,Basic service
EST,Estonia,total,Drinking water,2017,0,0,Limited service
EST,Estonia,total,Drinking water,2017,93.33299,1222318.746,Safely managed service
EST,Estonia,total,Drinking water,2017,0,0,Surface water
EST,Estonia,total,Drinking water,2017,0.28717,3760.91166,Unimproved
ETH,Ethiopia,total,Drinking water,2017,29.61518,31083333.7,Basic service
ETH,Ethiopia,total,Drinking water,2017,27.8402,29220358.97,Limited service
ETH,Ethiopia,total,Drinking water,2017,11.44477,12012140.93,Safely managed service
ETH,Ethiopia,total,Drinking water,2017,8.60106,9027448.482,Surface water
ETH,Ethiopia,total,Drinking water,2017,22.49879,23614157.92,Unimproved
FIN,Finland,total,Drinking water,2017,0.36688,20263.3577,Basic service
FIN,Finland,total,Drinking water,2017,0,0,Limited service
FIN,Finland,total,Drinking water,2017,99.63313,5502967.764,Safely managed service
FIN,Finland,total,Drinking water,2017,0,0,Surface water
FIN,Finland,total,Drinking water,2017,0,0,Unimproved
FJI,Fiji,total,Drinking water,2017,93.79092,849278.6499,At least basic
FJI,Fiji,total,Drinking water,2017,0,0,Limited service
FJI,Fiji,total,Drinking water,2017,2.0174,18267.59994,Surface water
FJI,Fiji,total,Drinking water,2017,4.19168,37955.75014,Unimproved
FLK,Falkland Islands (Malvinas),total,Drinking water,2017,95.02474,2765.22007,At least basic
FLK,Falkland Islands (Malvinas),total,Drinking water,2017,0,0,Limited service
FLK,Falkland Islands (Malvinas),total,Drinking water,2017,0,0,Surface water
FLK,Falkland Islands (Malvinas),total,Drinking water,2017,4.97526,144.77993,Unimproved
FRA,France,total,Drinking water,2017,2.14624,1394618.019,Basic service
FRA,France,total,Drinking water,2017,0,0,Limited service
FRA,France,total,Drinking water,2017,97.85376,63584930.96,Safely managed service
FRA,France,total,Drinking water,2017,0,0,Surface water
FRA,France,total,Drinking water,2017,0,0,Unimproved
FRO,Faroe Islands,total,Drinking water,2017,100,49290,At least basic
FRO,Faroe Islands,total,Drinking water,2017,0,0,Limited service
FRO,Faroe Islands,total,Drinking water,2017,0,0,Surface water
FRO,Faroe Islands,total,Drinking water,2017,0,0,Unimproved
FSM,Micronesia (Federated States of),total,Drinking water,2017,78.56648,82922.20461,At least basic
FSM,Micronesia (Federated States of),total,Drinking water,2017,0,0,Limited service
FSM,Micronesia (Federated States of),total,Drinking water,2017,21.43352,22621.79539,Unimproved
GAB,Gabon,total,Drinking water,2017,85.771,1736980.33,At least basic
GAB,Gabon,total,Drinking water,2017,8.01969,162409.7403,Limited service
GAB,Gabon,total,Drinking water,2017,3.28934,66613.63708,Surface water
GAB,Gabon,total,Drinking water,2017,2.91997,59133.2923,Unimproved
GBR,United Kingdom,total,Drinking water,2017,0.01122,7427.04454,Basic service
GBR,United Kingdom,total,Drinking water,2017,0,0,Limited service
GBR,United Kingdom,total,Drinking water,2017,99.98878,66174157.93,Safely managed service
GBR,United Kingdom,total,Drinking water,2017,0,0,Surface water
GBR,United Kingdom,total,Drinking water,2017,0,0,Unimproved
GEO,Georgia,total,Drinking water,2017,18.39976,719809.8413,Basic service
GEO,Georgia,total,Drinking water,2017,0,0,Limited service
GEO,Georgia,total,Drinking water,2017,79.99468,3129440.647,Safely managed service
GEO,Georgia,total,Drinking water,2017,0.02608,1020.31528,Surface water
GEO,Georgia,total,Drinking water,2017,1.57948,61790.19656,Unimproved
GHA,Ghana,total,Drinking water,2017,45.04178,12987178.4,Basic service
GHA,Ghana,total,Drinking water,2017,8.47539,2443763.056,Limited service
GHA,Ghana,total,Drinking water,2017,36.41161,10498788.97,Safely managed service
GHA,Ghana,total,Drinking water,2017,6.08969,1755879.543,Surface water
GHA,Ghana,total,Drinking water,2017,3.98152,1148018.028,Unimproved
GIB,Gibraltar,total,Drinking water,2017,0,0,Basic service
GIB,Gibraltar,total,Drinking water,2017,0,0,Limited service
GIB,Gibraltar,total,Drinking water,2017,100,34571,Safely managed service
GIB,Gibraltar,total,Drinking water,2017,0,0,Surface water
GIB,Gibraltar,total,Drinking water,2017,0,0,Unimproved
GIN,Guinea,total,Drinking water,2017,61.89872,7871769.556,At least basic
GIN,Guinea,total,Drinking water,2017,17.97293,2285649.585,Limited service
GIN,Guinea,total,Drinking water,2017,11.32471,1440183.176,Surface water
GIN,Guinea,total,Drinking water,2017,8.80363,1119573.683,Unimproved
GLP,Guadeloupe,total,Drinking water,2017,2.28765,10284.55891,Basic service
GLP,Guadeloupe,total,Drinking water,2017,0,0,Limited service
GLP,Guadeloupe,total,Drinking water,2017,97.39775,437869.1122,Safely managed service
GLP,Guadeloupe,total,Drinking water,2017,0,0,Surface water
GLP,Guadeloupe,total,Drinking water,2017,0.3146,1414.32889,Unimproved
GMB,Gambia,total,Drinking water,2017,77.99157,1638265.895,At least basic
GMB,Gambia,total,Drinking water,2017,9.0862,190861.8515,Limited service
GMB,Gambia,total,Drinking water,2017,0.00248,52.01719,Surface water
GMB,Gambia,total,Drinking water,2017,12.91975,271388.2359,Unimproved
GNB,Guinea-Bissau,total,Drinking water,2017,66.63441,1240255.024,At least basic
GNB,Guinea-Bissau,total,Drinking water,2017,6.89248,128288.4895,Limited service
GNB,Guinea-Bissau,total,Drinking water,2017,0.48043,8942.09529,Surface water
GNB,Guinea-Bissau,total,Drinking water,2017,25.99268,483797.391,Unimproved
GNQ,Equatorial Guinea,total,Drinking water,2017,64.66582,819761.4592,At least basic
GNQ,Equatorial Guinea,total,Drinking water,2017,2.958,37498.23185,Limited service
GNQ,Equatorial Guinea,total,Drinking water,2017,6.33848,80352.18326,Surface water
GNQ,Equatorial Guinea,total,Drinking water,2017,26.03771,330077.1257,Unimproved
GRC,Greece,total,Drinking water,2017,0,0,Basic service
GRC,Greece,total,Drinking water,2017,0,0,Limited service
GRC,Greece,total,Drinking water,2017,100,11159773,Safely managed service
GRC,Greece,total,Drinking water,2017,0,0,Surface water
GRC,Greece,total,Drinking water,2017,0,0,Unimproved
GRD,Grenada,total,Drinking water,2017,8.51338,9179.55424,Basic service
GRD,Grenada,total,Drinking water,2017,1.16148,1252.36752,Limited service
GRD,Grenada,total,Drinking water,2017,87.11527,93932.0381,Safely managed service
GRD,Grenada,total,Drinking water,2017,3.20987,3461.04014,Surface water
GRD,Grenada,total,Drinking water,2017,0,0,Unimproved
GRL,Greenland,total,Drinking water,2017,3.25231,1836.90688,Basic service
GRL,Greenland,total,Drinking water,2017,0,0,Limited service
GRL,Greenland,total,Drinking water,2017,96.74768,54643.09169,Safely managed service
GRL,Greenland,total,Drinking water,2017,0,0,Surface water
GRL,Greenland,total,Drinking water,2017,0,0.00143,Unimproved
GTM,Guatemala,total,Drinking water,2017,38.1998,6460924.541,Basic service
GTM,Guatemala,total,Drinking water,2017,1.05517,178466.9987,Limited service
GTM,Guatemala,total,Drinking water,2017,55.99078,9470003.1,Safely managed service
GTM,Guatemala,total,Drinking water,2017,1.61768,273607.0234,Surface water
GTM,Guatemala,total,Drinking water,2017,3.13656,530502.3372,Unimproved
GUF,French Guiana,total,Drinking water,2017,3.3259,9403.34054,Basic service
GUF,French Guiana,total,Drinking water,2017,0,0,Limited service
GUF,French Guiana,total,Drinking water,2017,90.78605,256680.3096,Safely managed service
GUF,French Guiana,total,Drinking water,2017,0,0,Surface water
GUF,French Guiana,total,Drinking water,2017,5.88805,16647.34983,Unimproved
GUM,Guam,total,Drinking water,2017,0.15403,252.95621,Basic service
GUM,Guam,total,Drinking water,2017,0,0,Limited service
GUM,Guam,total,Drinking water,2017,99.54117,163475.4738,Safely managed service
GUM,Guam,total,Drinking water,2017,0,0,Surface water
GUM,Guam,total,Drinking water,2017,0.3048,500.56999,Unimproved
GUY,Guyana,total,Drinking water,2017,95.53975,743164.5259,At least basic
GUY,Guyana,total,Drinking water,2017,1.20933,9406.85842,Limited service
GUY,Guyana,total,Drinking water,2017,2.10398,16366.01073,Surface water
GUY,Guyana,total,Drinking water,2017,1.14694,8921.60495,Unimproved
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2017,0,0,Basic service
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2017,0,0,Limited service
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2017,100,7364883,Safely managed service
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2017,0,0,Surface water
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2017,0,0,Unimproved
HND,Honduras,total,Drinking water,2017,94.82711,8785795.224,At least basic
HND,Honduras,total,Drinking water,2017,0.43376,40188.4352,Limited service
HND,Honduras,total,Drinking water,2017,0,0,Surface water
HND,Honduras,total,Drinking water,2017,4.73913,439083.3412,Unimproved
HRV,Croatia,total,Drinking water,2017,9.62726,403319.7083,Basic service
HRV,Croatia,total,Drinking water,2017,0,0,Limited service
HRV,Croatia,total,Drinking water,2017,89.95941,3768717.295,Safely managed service
HRV,Croatia,total,Drinking water,2017,0.41333,17315.99707,Unimproved
HTI,Haiti,total,Drinking water,2017,65.46683,7189062.074,At least basic
HTI,Haiti,total,Drinking water,2017,9.54128,1047749.687,Limited service
HTI,Haiti,total,Drinking water,2017,0,0,Surface water
HTI,Haiti,total,Drinking water,2017,24.9919,2744417.239,Unimproved
HUN,Hungary,total,Drinking water,2017,10.42724,1013689.852,Basic service
HUN,Hungary,total,Drinking water,2017,0,0,Limited service
HUN,Hungary,total,Drinking water,2017,89.57276,8707868.904,Safely managed service
HUN,Hungary,total,Drinking water,2017,0,0,Surface water
HUN,Hungary,total,Drinking water,2017,0,0.24414,Unimproved
IDN,Indonesia,total,Drinking water,2017,89.34401,235860487.3,At least basic
IDN,Indonesia,total,Drinking water,2017,1.414,3732843.098,Limited service
IDN,Indonesia,total,Drinking water,2017,1.50134,3963420.343,Surface water
IDN,Indonesia,total,Drinking water,2017,7.74064,20434625.3,Unimproved
IMN,Isle of Man,total,Drinking water,2017,1.86744,1574.00498,Basic service
IMN,Isle of Man,total,Drinking water,2017,0,0,Limited service
