Type,region,schoolType,Service Type,year,coverage,School-age population,serviceLevel
sdg,Central and Southern Asia,secondary,Drinking water,2017,77.83813,200313288.8,Basic service
sdg,Central and Southern Asia,total,Drinking water,2018,67.55597,369879360.9,Basic service
sdg,Central and Southern Asia,primary,Drinking water,2018,65.45097,123634888.8,Basic service
sdg,Central and Southern Asia,secondary,Drinking water,2018,77.93188,201141226.5,Basic service
sdg,Central and Southern Asia,total,Drinking water,2019,67.66102,372060153.6,Basic service
sdg,Central and Southern Asia,primary,Drinking water,2019,65.48418,123053580.1,Basic service
sdg,Central and Southern Asia,secondary,Drinking water,2019,78.02546,201950159.7,Basic service
sdg,Eastern and South-Eastern Asia,primary,Drinking water,2016,68.98287,124924931.5,Basic service
sdg,Eastern and South-Eastern Asia,primary,Drinking water,2017,68.93669,125231508.8,Basic service
sdg,Eastern and South-Eastern Asia,primary,Drinking water,2018,68.89775,125672906.6,Basic service
sdg,Eastern and South-Eastern Asia,secondary,Drinking water,2018,73.90423,137668446,Basic service
sdg,Eastern and South-Eastern Asia,primary,Drinking water,2019,68.92616,126393888.3,Basic service
sdg,Europe and Northern America,total,Drinking water,2000,99.99064,203787667.1,Basic service
sdg,Europe and Northern America,primary,Drinking water,2000,100,67872192,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2000,100,98206037,Basic service
sdg,Europe and Northern America,total,Drinking water,2001,99.99143,201509828.5,Basic service
sdg,Europe and Northern America,primary,Drinking water,2001,100,66819489,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2001,100,97871254,Basic service
sdg,Europe and Northern America,total,Drinking water,2002,99.99219,199102682.9,Basic service
sdg,Europe and Northern America,primary,Drinking water,2002,100,65690856,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2002,100,97294830,Basic service
sdg,Europe and Northern America,total,Drinking water,2003,99.28557,195453948.9,Basic service
sdg,Europe and Northern America,primary,Drinking water,2003,100,64916159,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2003,100,96711511,Basic service
sdg,Europe and Northern America,total,Drinking water,2004,99.15292,195312239.9,Basic service
sdg,Europe and Northern America,primary,Drinking water,2004,100,65427020,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2004,100,96435486,Basic service
sdg,Europe and Northern America,total,Drinking water,2005,99.18261,192954649.1,Basic service
sdg,Europe and Northern America,primary,Drinking water,2005,100,64397202,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2005,100,95032624,Basic service
sdg,Europe and Northern America,total,Drinking water,2006,99.21132,190754602,Basic service
sdg,Europe and Northern America,primary,Drinking water,2006,100,63605126,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2006,100,93453353,Basic service
sdg,Europe and Northern America,total,Drinking water,2007,99.23616,188763973.6,Basic service
sdg,Europe and Northern America,primary,Drinking water,2007,100,63046316,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2007,100,91773167,Basic service
sdg,Europe and Northern America,total,Drinking water,2008,99.29103,187019828.7,Basic service
sdg,Europe and Northern America,primary,Drinking water,2008,100,62736293,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2008,100,90026091,Basic service
sdg,Europe and Northern America,total,Drinking water,2009,99.34984,185441554.9,Basic service
sdg,Europe and Northern America,primary,Drinking water,2009,100,62648727,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2009,100,88034508,Basic service
sdg,Europe and Northern America,total,Drinking water,2010,99.40208,184280540.9,Basic service
sdg,Europe and Northern America,primary,Drinking water,2010,100,62796901,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2010,100,86201601,Basic service
sdg,Europe and Northern America,total,Drinking water,2011,99.38464,183496889.5,Basic service
sdg,Europe and Northern America,primary,Drinking water,2011,99.77718,63042011.5,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2011,100,84461136,Basic service
sdg,Europe and Northern America,total,Drinking water,2012,99.15817,182615099.8,Basic service
sdg,Europe and Northern America,primary,Drinking water,2012,99.5603,63095436,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2012,99.90736,83172705.24,Basic service
sdg,Europe and Northern America,total,Drinking water,2013,99.18193,182555226.4,Basic service
sdg,Europe and Northern America,primary,Drinking water,2013,99.5744,63651388,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2013,99.90865,82327800.48,Basic service
sdg,Europe and Northern America,total,Drinking water,2014,99.20522,182923563.3,Basic service
sdg,Europe and Northern America,primary,Drinking water,2014,99.59,64287477.79,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2014,99.70179,81485485.21,Basic service
sdg,Europe and Northern America,total,Drinking water,2015,98.52553,181199992.1,Basic service
sdg,Europe and Northern America,primary,Drinking water,2015,98.785,64258451.54,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2015,99.2679,80397061.12,Basic service
sdg,Europe and Northern America,total,Drinking water,2016,98.5478,181548997.2,Basic service
sdg,Europe and Northern America,primary,Drinking water,2016,98.78586,64780956.31,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2016,99.28127,80047106.63,Basic service
sdg,Europe and Northern America,total,Drinking water,2017,98.57148,182345997.5,Basic service
sdg,Europe and Northern America,primary,Drinking water,2017,98.79156,65360027.14,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2017,99.29337,80247191.13,Basic service
sdg,Europe and Northern America,total,Drinking water,2018,98.59983,183512476.5,Basic service
sdg,Europe and Northern America,primary,Drinking water,2018,98.79688,65580604.89,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2018,99.30779,80937639.29,Basic service
sdg,Europe and Northern America,total,Drinking water,2019,98.87679,184375171.7,Basic service
sdg,Europe and Northern America,primary,Drinking water,2019,98.82214,65887884.43,Basic service
sdg,Europe and Northern America,secondary,Drinking water,2019,99.3187,81117155,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2010,63.4289,98333123.47,Basic service
sdg,Latin America and the Caribbean,primary,Drinking water,2010,65.74625,38777627.77,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2011,63.9931,99172916.58,Basic service
sdg,Latin America and the Caribbean,primary,Drinking water,2011,66.05777,38088917.32,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2012,68.07767,105110035.2,Basic service
sdg,Latin America and the Caribbean,primary,Drinking water,2012,70.48759,40293169.09,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2013,68.10356,106646093,Basic service
sdg,Latin America and the Caribbean,primary,Drinking water,2013,70.76443,42334284.29,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2014,68.55562,106947988.2,Basic service
sdg,Latin America and the Caribbean,primary,Drinking water,2014,71.04028,42339171.93,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2015,69.0594,107145221.6,Basic service
sdg,Latin America and the Caribbean,primary,Drinking water,2015,72.29608,42946648.61,Basic service
sdg,Latin America and the Caribbean,secondary,Drinking water,2015,61.74093,41927343.47,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2016,69.50288,107006601.1,Basic service
sdg,Latin America and the Caribbean,primary,Drinking water,2016,72.67348,42808091.53,Basic service
sdg,Latin America and the Caribbean,secondary,Drinking water,2016,61.59103,41608883.35,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2017,72.248,110698779.6,Basic service
sdg,Latin America and the Caribbean,primary,Drinking water,2017,72.93011,42692508.82,Basic service
sdg,Latin America and the Caribbean,secondary,Drinking water,2017,61.43439,41261524.69,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2018,72.6287,111426745.7,Basic service
sdg,Latin America and the Caribbean,primary,Drinking water,2018,73.1703,42788945.6,Basic service
sdg,Latin America and the Caribbean,secondary,Drinking water,2018,61.30067,41518734.43,Basic service
sdg,Latin America and the Caribbean,secondary,Drinking water,2019,61.30083,41027795.94,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2011,78.28693,97910215.41,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2012,80.24318,101078433.2,Basic service
sdg,Northern Africa and Western Asia,secondary,Drinking water,2012,86.33484,46637984.12,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2013,77.5519,98469748.73,Basic service
sdg,Northern Africa and Western Asia,secondary,Drinking water,2013,85.29102,47195065.3,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2014,74.20966,95101031.28,Basic service
sdg,Northern Africa and Western Asia,primary,Drinking water,2014,80.43056,40810985.94,Basic service
sdg,Northern Africa and Western Asia,secondary,Drinking water,2014,80.97526,44125713.66,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2015,74.36363,96308705.93,Basic service
sdg,Northern Africa and Western Asia,primary,Drinking water,2015,80.87461,41727775.52,Basic service
sdg,Northern Africa and Western Asia,secondary,Drinking water,2015,80.98689,44217976.85,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2016,74.48939,97736824.41,Basic service
sdg,Northern Africa and Western Asia,primary,Drinking water,2016,80.99937,42565718.8,Basic service
sdg,Northern Africa and Western Asia,secondary,Drinking water,2016,81.1888,44595665.76,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2017,74.54138,99254127.15,Basic service
sdg,Northern Africa and Western Asia,primary,Drinking water,2017,80.95889,43418667.07,Basic service
sdg,Northern Africa and Western Asia,secondary,Drinking water,2017,81.3377,44961347.01,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2018,83.09582,112530269.8,Basic service
sdg,Northern Africa and Western Asia,primary,Drinking water,2018,81.27245,44517821.66,Basic service
sdg,Northern Africa and Western Asia,secondary,Drinking water,2018,81.47441,45534613.55,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2019,82.92085,113062867,Basic service
sdg,Northern Africa and Western Asia,primary,Drinking water,2019,81.3542,45506231.26,Basic service
sdg,Northern Africa and Western Asia,secondary,Drinking water,2019,81.52499,46042272.41,Basic service
sdg,Oceania,total,Drinking water,2011,45.7767,1471052.077,Basic service
sdg,Oceania,primary,Drinking water,2011,47.28006,697318.5289,Basic service
sdg,Oceania,secondary,Drinking water,2011,66.30784,901222.9862,Basic service
sdg,Oceania,total,Drinking water,2012,45.68385,1769516.702,Basic service
sdg,Oceania,primary,Drinking water,2012,44.99722,672468.1402,Basic service
sdg,Oceania,secondary,Drinking water,2012,62.52282,867857.4277,Basic service
sdg,Oceania,total,Drinking water,2013,48.77135,1919038.682,Basic service
sdg,Oceania,primary,Drinking water,2013,44.98665,682241.9275,Basic service
sdg,Oceania,secondary,Drinking water,2013,62.48174,883131.8414,Basic service
sdg,Oceania,total,Drinking water,2014,48.70927,1944684.989,Basic service
sdg,Oceania,primary,Drinking water,2014,44.99105,692893.6161,Basic service
sdg,Oceania,secondary,Drinking water,2014,62.43503,897125.8515,Basic service
sdg,Oceania,total,Drinking water,2015,48.66505,1970323.954,Basic service
sdg,Oceania,primary,Drinking water,2015,45.00469,704085.2965,Basic service
sdg,Oceania,secondary,Drinking water,2015,62.38647,910251.6737,Basic service
sdg,Oceania,total,Drinking water,2016,48.60916,1992350.832,Basic service
sdg,Oceania,primary,Drinking water,2016,44.98997,712934.8673,Basic service
sdg,Oceania,secondary,Drinking water,2016,62.37009,924201.8719,Basic service
sdg,Oceania,total,Drinking water,2017,48.54591,2014646.364,Basic service
sdg,Oceania,primary,Drinking water,2017,44.94975,722208.4548,Basic service
sdg,Oceania,secondary,Drinking water,2017,62.35344,937601.751,Basic service
sdg,Oceania,total,Drinking water,2018,48.47736,2034487.655,Basic service
sdg,Oceania,primary,Drinking water,2018,44.88704,729019.8297,Basic service
sdg,Oceania,secondary,Drinking water,2018,62.33853,951801.472,Basic service
sdg,Oceania,total,Drinking water,2019,48.3409,2177302.021,Basic service
sdg,Oceania,primary,Drinking water,2019,44.94721,830668.9796,Basic service
sdg,Oceania,secondary,Drinking water,2019,62.32723,966314.5545,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2012,49.67427,163901503.1,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2013,43.10951,146017294,Basic service
sdg,Sub-Saharan Africa,primary,Drinking water,2013,38.54508,57867362.15,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2014,41.72457,145186035.2,Basic service
sdg,Sub-Saharan Africa,primary,Drinking water,2014,37.02907,57147028.4,Basic service
sdg,Sub-Saharan Africa,secondary,Drinking water,2014,47.08001,59529352.47,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2015,43.33982,155836397.2,Basic service
sdg,Sub-Saharan Africa,primary,Drinking water,2015,39.16932,62094371.17,Basic service
sdg,Sub-Saharan Africa,secondary,Drinking water,2015,50.68435,65962300.77,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2016,43.49904,160892105,Basic service
sdg,Sub-Saharan Africa,primary,Drinking water,2016,39.66961,64519851.4,Basic service
sdg,Sub-Saharan Africa,secondary,Drinking water,2016,50.8696,68124195.34,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2017,43.48658,164589751.3,Basic service
sdg,Sub-Saharan Africa,primary,Drinking water,2017,39.84445,66477811.57,Basic service
sdg,Sub-Saharan Africa,secondary,Drinking water,2017,51.07126,70203975.49,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2018,43.43983,168660230.6,Basic service
sdg,Sub-Saharan Africa,primary,Drinking water,2018,40.00674,68458656.19,Basic service
sdg,Sub-Saharan Africa,secondary,Drinking water,2018,51.34358,72641107.71,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2019,43.62889,173854207.9,Basic service
sdg,Sub-Saharan Africa,primary,Drinking water,2019,40.15821,70340133.41,Basic service
sdg,Sub-Saharan Africa,secondary,Drinking water,2019,51.86494,75923364.81,Basic service
sdg,Australia and New Zealand,total,Drinking water,2000,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2000,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2000,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2001,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2001,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2001,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2002,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2002,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2002,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2003,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2003,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2003,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2004,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2004,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2004,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2005,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2005,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2005,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2006,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2006,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2006,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2007,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2007,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2007,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2008,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2008,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2008,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2009,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2009,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2009,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2010,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2010,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2010,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2011,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2011,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2011,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2012,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2012,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2012,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2013,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2013,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2013,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2014,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2014,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2014,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2015,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2015,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2015,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2016,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2016,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2016,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2017,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2017,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2017,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2018,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2018,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2018,0,0,Insufficient data
sdg,Australia and New Zealand,total,Drinking water,2019,0,0,Insufficient data
sdg,Australia and New Zealand,primary,Drinking water,2019,0,0,Insufficient data
sdg,Australia and New Zealand,secondary,Drinking water,2019,0,0,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2000,72.25916,371435319.6,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2000,78.26683,139340722.6,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2000,88.49209,206693138.3,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2001,72.25903,374437498.3,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2001,78.2666,139699456.5,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2001,88.49216,209743184,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2002,73.47643,383700644.9,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2002,78.2663,140320706.6,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2002,88.49221,212095462.4,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2003,73.58027,386591508.3,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2003,75.93877,136849700.3,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2003,87.68072,212301276.9,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2004,74.61626,394458580,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2004,76.67086,138826546.3,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2004,87.51618,213672872,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2005,75.66257,402307634.5,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2005,77.30307,140582096.6,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2005,87.76152,216242752.6,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2006,76.59156,408819503.6,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2006,77.96739,142342132.5,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2006,88.00786,217934270.5,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2007,77.32267,414383018.4,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2007,78.62881,144202970.8,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2007,88.25399,219411764.9,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2008,78.21866,420769695.5,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2008,79.29977,146056092.9,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2008,88.52848,220964555.7,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2009,79.16152,427337375.4,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2009,80.12605,148153910.5,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2009,88.95921,222967925.9,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2010,80.20431,434376396.6,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2010,80.94339,150179140.8,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2010,89.39065,225046802.8,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2011,0,0,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2011,0,0,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2011,0,0,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2012,0,0,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2012,0,0,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2012,0,0,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2013,0,0,Insufficient data
sdg,Central and Southern Asia,primary,Drinking water,2013,0,0,Insufficient data
sdg,Central and Southern Asia,secondary,Drinking water,2013,0,0,Insufficient data
sdg,Central and Southern Asia,total,Drinking water,2014,0,0,Insufficient data
